Items;AoA;SubjectiveFrequency;Imageability;NumberOfLetters;NumberOfPhonemes;NumberOfSyllables;NumberOfNeighbors;ObjectiveFrequency;MeanBigramFrequency;TypeOfAcronyms;VoicedFeature;RT_ms
AA;4.5;2.16;2.00;2;2;2;2;140000000;5700;Typ ambi;voiced;801
AB;2.94;2.95;2.74;2;3;2;3;196000000;5267;Typ ambi;voiced;714
ABS;4.32;3.6;2.91;3;5;3;1;44100000;15445;Typ ambi;voiced;686
ADAPEI;4.93;2.65;1.7;6;6;4;0;39500;4186;Atyp Ambig;voiced;1212
ADN;3.5;4.9;4.62;3;5;3;1;2130000;4699;Typ ambi;voiced;643
AFPA;4.71;2.79;1.95;4;4;2;0;169000;4697;Atyp Ambig;voiced;931
AFSSAPS;4.93;2.25;1.5;7;6;2;0;159000;9936;Atyp Ambig;voiced;1305
ANPE;4.24;4.6;4.09;4;6;4;2;202000;13089;Typ ambi;voiced;726
AOC;4.42;4.45;2.43;3;4;3;0;3410000;3732;Typ ambi;voiced;791
APL;4.77;4.9;3.77;3;5;3;0;2010000;4949;Typ ambi;voiced;667
AREVA;4.76;4.15;2.79;5;5;3;2;721000;8369;Atyp Ambig;voiced;823
ASSEDIC;4.5;4.3;3.36;7;6;3;0;191000;6108;Atyp Ambig;voiced;764
AVC;4.18;4.89;3.86;3;5;3;0;3070000;3604;Typ ambi;voiced;730
AVS;4.71;3.68;2.2;3;5;3;1;3890000;14934;Typ ambi;voiced;739
AXA;3.91;3.4;3.57;3;4;2;1;1270000;4414;Atyp Ambig;voiced;790
BA;4.47;3.58;2.33;2;3;2;3;154000000;5234;Typ ambi;voiced;774
BAFA;4.32;4.85;3.91;4;4;2;0;358000;3776;Atyp Ambig;voiced;718
BCBG;3.73;4.65;4.29;4;8;4;0;1650000;1477;Typ non ambig;voiced;920
BCE;4.88;3.65;2.42;3;5;3;2;6570000;10779;Typ ambi;voiced;737
BCG;4.42;3.42;1.94;3;6;3;0;1530000;1846;Typ non ambig;voiced;858
BD;2.09;4.89;4.95;2;4;2;2;103000000;2626;Typ non ambig;voiced;701
BEP;4.09;4.47;3.14;3;5;3;1;1640000;2428;Typ ambi;voiced;749
BEPC;4.53;3.37;2.65;4;7;4;1;82800;1970;Typ ambi;voiced;921
BIT;4.44;2.85;2.11;3;5;3;1;166000000;11952;Typ ambi;voiced;909
BN;2.95;4.00;4.62;2;4;2;2;28100000;3824;Typ non ambig;voiced;703
BNF;4.8;2.68;2.3;3;6;3;0;1140000;2288;Typ non ambig;voiced;790
BNP;4.00;4.7;3.95;3;6;3;0;2530000;1822;Typ non ambig;voiced;725
BO;3.74;4.37;3.52;2;3;2;3;56800000;3753;Typ ambi;voiced;761
